Alert ID,Version No.,Time Type,Image URL,Mode,Effect,Affecting,Cause,Severity,Effect Start,Effect End,Recurrence Start,Recurrence End,Recurrence Start Time,Recurrence End Time,Recurrence Days,Notification From,Notification Until,Header,Note Text,Note Last Modified,Note Last Modified By,Accessibility Information,Send via PA/ESS,PA/ESS,T-Alert Sent to Subscribers,Send to Twitter,Set as Website Banner,Website Banner Text,URL,Additional Information,Last Modified By,Last Modified Date,Closed,Reminders,PCF,Planned Disruption,Send T-Alert on close,Send T-Alert on edit,Text-To-Speech Message Text,Text-To-Speech Description Text
393469,2,One-time,,Bus,Stop Closure,,construction,up to 20 minutes,2021-06-23T09:00,2021-06-23T11:00,,,,,,2021-06-21T12:52:43.487,2021-06-23T11:00,"The stop at W Broadway @ F St will be closed on Wed, Jun 23, from 9 - 11 AM due to nearby construction. Customers can use W Broadway @ E St as an alternate.",,,,,False,,False,False,False,,,,expiry,2021-06-23T11:00:16.710,True,,past,,False,True,,
393774,1,One-time,,Bus,Stop Closure,1; Massachusetts Ave @ Bigelow St,,up to 20 minutes,2021-06-24T15:30,2021-06-24T20:30,,,,,,2021-06-24T09:39:42.213,2021-06-24T20:30,The stop at Massachusetts Ave @ Bigelow St will be closed today from 3:30 PM - 8:30 PM. Customers can use the stops on Mass Ave at Hancock St or Prospect St.,,,,,False,,True,False,False,,,,eryk.rotondo,2021-06-24T09:39:44.983,False,,current,,False,True,,
393774,2,One-time,,Bus,Stop Closure,,,up to 20 minutes,2021-06-24T15:30,2021-06-24T20:30,,,,,,2021-06-24T09:39:42.213,2021-06-24T20:30,The stop at Massachusetts Ave @ Bigelow St will be closed today from 3:30 PM - 8:30 PM. Customers can use the stops on Mass Ave at Hancock St or Prospect St.,,,,,False,,False,False,False,,,,expiry,2021-06-24T20:30:17.153,True,,past,,False,True,,
395071,1,One-time,,Bus,Stop Closure,45; Blue Hill Ave @ Devon St,accident,up to 20 minutes,2021-07-06T11:40:10.224,later today,,,,,,2021-07-06T11:40:10.227,2021-07-07T02:30,The service stop on Blue Hill Ave @ Devon St is being omitted temporarily due to an auto accident. Connect on Blue Hill Ave opp Warren St or Blue Hill Ave @ Intervale St.,,,,,False,,True,False,False,,,"Affected routes:
45",michael.joyce,2021-07-06T11:40:48.997,False,,current,,False,True,,
395071,2,One-time,,Bus,Stop Closure,,accident,up to 20 minutes,2021-07-06T11:40:10.224,2021-07-06T14:01:53.883,,,,,,2021-07-06T11:40:10.227,2021-07-06T14:01:53.883,The service stop on Blue Hill Ave @ Devon St is being omitted temporarily due to an auto accident. Connect on Blue Hill Ave opp Warren St or Blue Hill Ave @ Intervale St.,,,,,False,,False,False,False,,,"Affected routes:
45",michael.joyce,2021-07-06T14:01:53.883,True,,past,,False,True,,
397079,1,Recurring,,Bus,Stop Closure,"69, 83; Hampshire St @ Cambridge St, Hampshire St @ Inman St",construction,up to 20 minutes,2021-07-21T07:00,2021-07-21T16:00,2021-07-21T04:30,2021-08-05T02:30,07:00:00,16:00:00,"Monday, Tuesday, Wednesday, Thursday, Friday",2021-07-21T10:18:05.400,2021-08-04T16:00,"The stops at Hampshire St @ Cambridge St & Hampshire St @ Inman St will be closed on weekdays from 7 AM to 4 PM through Wed, Aug 4 for construction. Temporary stops: OB 193/195 Hampshire Street - IB 192 Hampshire Street",,,,,False,,True,False,False,,,"Affected routes:
69
83",eryk.rotondo,2021-07-21T10:20:42.873,False,,current,,False,True,,
397079,2,Recurring,,Bus,Stop Closure,"69, 83; Hampshire St @ Inman St, Hampshire St @ Cambridge St",construction,up to 20 minutes,2021-07-21T07:00,2021-07-21T16:00,2021-07-21T04:30,2021-08-05T02:30,07:00:00,16:00:00,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2021-07-21T10:18:05.400,2021-08-04T16:00,"The stops at Hampshire St @ Cambridge St & Hampshire St @ Inman St will be closed on from 7 AM to 4 PM through Wed, Aug 4 for construction. Temporary stops: OB 193/195 Hampshire Street - IB 192 Hampshire Street",,,,,False,,False,False,False,,,"Affected routes:
69
83",eryk.rotondo,2021-07-21T10:26:33.393,False,,current,,False,True,,
397079,3,One-time,,Bus,Stop Closure,"69, 83; Hampshire St @ Inman St, Hampshire St @ Cambridge St",construction,up to 20 minutes,2021-07-21T10:34:06.790,2021-08-05T02:30,,,,,,2021-07-21T10:34:06.790,2021-08-05T02:30,"The stops at Hampshire St @ Cambridge St & Hampshire St @ Inman St will be closed through Wed, Aug 4 for construction. Temporary stops: OB 193/195 Hampshire Street - IB 192 Hampshire Street",,,,,False,,False,False,False,,,"Affected routes:
69
83",eryk.rotondo,2021-07-21T10:34:10.070,False,,current,,False,True,,
397079,4,One-time,,Bus,Stop Closure,,construction,up to 20 minutes,2021-07-21T10:34:06.790,2021-08-03T10:08:45.010,,,,,,2021-07-21T10:34:06.790,2021-08-03T10:08:45.010,"The stops at Hampshire St @ Cambridge St & Hampshire St @ Inman St will be closed through Wed, Aug 4 for construction. Temporary stops: OB 193/195 Hampshire Street - IB 192 Hampshire Street",,,,,False,,False,False,False,,,"Affected routes:
69
83",eryk.rotondo,2021-08-03T10:08:45.010,True,,past,,False,True,,
399571,1,One-time,,Bus,Stop Closure,64; Cambridge St @ Mass Pike,,information,2021-08-09T16:56:29.638,later today,,,,,,2021-08-09T16:56:29.657,2021-08-10T02:30,"Stop closure alert: Effective June 18, Route 64 outbound stop Cambridge St @ Mass Pike is closed due to accessiblilty concerns. Please use the following stop, Cambridge St @ Seattle St, as an alternative.",,,,,False,,False,False,False,,,"Affected routes:
64",christopher.delano,2021-08-09T16:56:34.453,False,,current,,False,True,,
