Alert ID,Version No.,Time Type,Image URL,Mode,Effect,Affecting,Cause,Severity,Effect Start,Effect End,Recurrence Start,Recurrence End,Recurrence Start Time,Recurrence End Time,Recurrence Days,Notification From,Notification Until,Header,Note Text,Note Last Modified,Note Last Modified By,Accessibility Information,Send via PA/ESS,PA/ESS,T-Alert Sent to Subscribers,Send to Twitter,Set as Website Banner,Website Banner Text,URL,Additional Information,Last Modified By,Last Modified Date,Closed,Reminders,PCF,Planned Disruption,Send T-Alert on close,Send T-Alert on edit,Text-To-Speech Message Text,Text-To-Speech Description Text
317667,1,One-time,,Bus,Stop Closure,"71, 73; Waterhouse St @ Massachusetts Ave (inbound)",,information,2019-06-24T04:30,further notice,,,,,,2019-06-19T17:53:48.463,further notice,"Beginning Monday 6/24/2019 until late December 2019, the Waterhouse St. bus stop will not be serviced by Route 71 & 73 due to the Harvard Bus Tunnel Renovation.",,,,,False,,True,False,False,,,"All Route 71 & 73 service will start from Mount Auburn St. and not operate in the Harvard Tunnel. Riders traveling outbound can board Route 72, 74, 75, 77, 78, or 96 inbound to Eliot St. @ Bennett St., then walk a block to Mount Auburn St. @ Story St. to transfer to Route 71 & 73 outbound.

Affected routes:
71
73",john.semerjian,2019-06-19T17:53:51.363,False,,current,,False,True,,
317667,2,One-time,,Bus,Stop Closure,"71, 73; Waterhouse St @ Massachusetts Ave",,information,2019-12-23T04:30,2020-01-04T02:30,,,,,,2019-06-19T17:53:48.463,2020-01-04T02:30,"Route 71 & 73 will again serve Waterhouse St beginning Monday, December 23",,,,,False,,True,False,False,,,,john.semerjian,2019-12-21T16:49:05.427,False,,current,,False,True,,
317667,3,One-time,,Bus,Stop Closure,,,information,2019-12-23T04:30,2020-01-03T20:56:43.240,,,,,,2019-06-19T17:53:48.463,2020-01-03T20:56:43.240,"Route 71 & 73 will again serve Waterhouse St beginning Monday, December 23",,,,,False,,False,False,False,,,,john.semerjian,2020-01-03T20:56:43.240,True,,past,,False,True,,
317669,1,One-time,,Bus,Stop Closure,"86, 87, 91; Somerville Ave @ Prospect St (outbound)",,up to 20 minutes,2019-06-19T18:04:39.850,later today,,,,,,2019-06-19T18:04:39.853,2019-06-20T02:30,"Beginning June 24, 2019 until early 2020, the bus stop on Somerville Ave @ Prospect St (#2597) will be closed/missed while service is diverted on Webster Ave and Prospect St due to construction on Somerville Ave in Union Square.",,,,,False,,True,False,False,,,"Missed:
Somerville Ave @ Prospect St (2597)

86 OB Get On Here:
Washington St @ Kingman Rd (25713)
Washington St @ Merriam St (2773)
30 Prospect St (2351) - Temporary

87 IB Get On Here:
Somerville Ave @ Union Square (2510)
Somerville Ave @ Linden St (2598)
30 Prospect St (2531) - Temporary

91 IB Get On Here:
Washington St @ Merriam St (2773)
30 Prospect St (2531) - Temporary

Affected routes:
86
87
91",john.semerjian,2019-06-19T18:04:42.453,False,,current,,False,True,,
317669,2,One-time,,Bus,Stop Closure,"86, 87, 91; Somerville Ave @ Prospect St",,up to 20 minutes,2019-06-24T04:30,further notice,,,,,,2019-06-19T18:04:39.853,further notice,"Beginning June 24, 2019 until early 2020, the bus stop on Somerville Ave @ Prospect St (2597) will be closed/missed while service is diverted on Webster Ave and Prospect St due to construction on Somerville Ave in Union Square.",,,,,False,,False,False,False,,,"Missed:
Somerville Ave @ Prospect St (2597)

86 OB Get On Here:
Washington St @ Kingman Rd (25713)
Washington St @ Merriam St (2773)
30 Prospect St (2351) - Temporary

87 IB Get On Here:
Somerville Ave @ Union Square (2510)
Somerville Ave @ Linden St (2598)
30 Prospect St (2531) - Temporary

91 IB Get On Here:
Washington St @ Merriam St (2773)
30 Prospect St (2531) - Temporary

Affected routes:
86
87
91",john.semerjian,2019-06-19T18:07:32.117,False,,current,,False,True,,
317669,3,One-time,,Bus,Stop Closure,"86, 87, 91; Somerville Ave @ Prospect St",,up to 20 minutes,2019-06-24T04:30,further notice,,,,,,2019-06-19T18:04:39.853,further notice,"Beginning June 24, 2019 until early 2020, the bus stop on Somerville Ave @ Prospect St (2597) will be closed/missed while service is diverted on Webster Ave and Prospect St due to construction on Somerville Ave in Union Square.",,,,,False,,True,False,False,,,"Missed:
Somerville Ave @ Prospect St (2597)

86 OB Get On Here:
Washington St @ Kingman Rd (25713)
Washington St @ Merriam St (2773)
30 Prospect St (2351) - Temporary

87 IB Get On Here:
Somerville Ave @ Union Square (2510)
30 Prospect St (2531) - Temporary

91 IB Get On Here:
Washington St @ Merriam St (2773)
30 Prospect St (2531) - Temporary

Affected routes:
86
87
91",stephanie.rosario,2019-08-06T19:56:01.530,False,,current,,False,True,,
317669,4,One-time,,Bus,Stop Closure,"86, 87; Somerville Ave @ Prospect St",,up to 20 minutes,2019-06-24T04:30,further notice,,,,,,2019-06-19T18:04:39.853,further notice,The bus stop at Somerville Ave @ Prospect St (2597) will be closed/missed due to construction on Somerville Ave in Union Square until futher notice.,,,,,False,,False,False,False,,,"Missed:
Somerville Ave @ Prospect St (2597)

86 OB Get On Here:
Washington St @ Kingman Rd (25713)
Washington St @ Merriam St (2773)

87 IB Get On Here:
Somerville Ave @ Union Square (2510)

91 IB Get On Here:
Washington St @ Merriam St (2773)
30 Prospect St (2531) - Temporary

Affected routes:
86
87
91",eryk.rotondo,2020-01-15T05:35:31.493,False,,current,,False,True,,
317669,5,One-time,,Bus,Stop Closure,,,up to 20 minutes,2019-06-24T04:30,2020-02-14T14:07:13.030,,,,,,2019-06-19T18:04:39.853,2020-02-14T14:07:13.030,The bus stop at Somerville Ave @ Prospect St (2597) will be closed/missed due to construction on Somerville Ave in Union Square until futher notice.,,,,,False,,False,False,False,,,"Missed:
Somerville Ave @ Prospect St (2597)

86 OB Get On Here:
Washington St @ Kingman Rd (25713)
Washington St @ Merriam St (2773)

87 IB Get On Here:
Somerville Ave @ Union Square (2510)

91 IB Get On Here:
Washington St @ Merriam St (2773)
30 Prospect St (2531) - Temporary

Affected routes:
86
87
91",nicholas.tomkavage,2020-02-14T14:07:13.030,True,,past,,False,True,,
325834,1,One-time,,Bus,Stop Closure,"87; Somerville Ave @ Linden St (inbound), Somerville Ave opp Mansfield St (inbound)",construction,up to 20 minutes,2019-08-12T04:30,further notice,,,,,,2019-08-06T20:14:26.717,further notice,"Beginning August 12, 2019 until early 2020, the bus stop on Somerville Ave @ Linden St and Somerville Ave opp Mansfield St will be closed/missed while service is diverted on Somerville Ave from Prospect St to McGrath Hwy due to construction.",,,,,False,,True,False,False,,,"Affected routes:
87

Missed Stops: Inbound

Somerville Ave @ Linden St
Somerville Ave opp Mansfield St

Connections: Inbound

McGrath Hwy @ Medford St,
Washington St @ Merriam St (temporary)

McGrath Hwy @ Medford St,
Washington St @ McGrath Hwy (temporary)",stephanie.rosario,2019-08-06T20:14:59.690,False,,current,,False,True,,
325834,2,One-time,,Bus,Stop Closure,,construction,up to 20 minutes,2019-08-12T04:30,2020-04-02T11:41:18.510,,,,,,2019-08-06T20:14:26.717,2020-04-02T11:41:18.510,"Beginning August 12, 2019 until early 2020, the bus stop on Somerville Ave @ Linden St and Somerville Ave opp Mansfield St will be closed/missed while service is diverted on Somerville Ave from Prospect St to McGrath Hwy due to construction.",,,,,False,,True,False,False,,,"Affected routes:
87

Missed Stops: Inbound

Somerville Ave @ Linden St
Somerville Ave opp Mansfield St

Connections: Inbound

McGrath Hwy @ Medford St,
Washington St @ Merriam St (temporary)

McGrath Hwy @ Medford St,
Washington St @ McGrath Hwy (temporary)",eryk.rotondo,2020-04-02T11:41:18.510,True,,past,,False,True,,
340671,1,One-time,,Bus,Stop Closure,"57, 57A; Commonwealth Ave @ St Paul St (inbound)",,up to 20 minutes,2019-10-30T16:40:30.943,further notice,,,,,,2019-10-30T16:40:30.943,further notice,Commonwealth Ave @ St Paul St (inbound) closed until further notice. Use Commonwealth Ave @ Pleasant St or Carlton St as alternates.,,,,,False,,True,False,False,,,"Affected routes:
57
57A",john.semerjian,2019-10-30T16:40:32.453,False,,current,,False,True,,
