Stop,0640,0755,0910,1025,1145,1355,1445,1600,1715,1830,1950
Boat-Winthrop,6:40 AM,7:55 AM,9:10 AM,10:25 AM,11:45 AM,,2:45 PM,4:00 PM,5:15 PM,6:30 PM,7:50 PM
Boat-Logan,,,,,,,3:10 PM,4:25 PM,5:40 PM,6:55 PM,8:15 PM
Boat-Aquarium,7:05 AM,8:20 AM,9:35 AM,10:50 AM,12:10 PM,1:55 PM,3:20 PM,4:35 PM,5:50 PM,7:05 PM,8:25 PM
Boat-Fan,7:15 AM,8:30 AM,9:45 AM,11:05 AM,12:20 PM,2:05 PM,3:30 PM,4:45 PM,6:00 PM,7:15 PM,8:35 PM
Boat-Logan,7:25 AM,8:40 AM,9:55 AM,11:15 AM,,2:15 PM,,,,,
Boat-Winthrop,7:50 AM,9:05 AM,10:20 AM,11:40 AM,,2:40 PM,3:55 PM,5:10 PM,6:25 PM,7:40 PM,9:00 PM
